,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
222154,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 15:44:02.747000+00:00,2021-01-09 15:44:02.747000+00:00,0.0
255252,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 17:06:59.748000+00:00,2021-01-09 17:06:59.748000+00:00,0.0
255792,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 17:07:58.793000+00:00,2021-01-09 17:07:58.793000+00:00,0.0
308293,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 19:25:27.916000+00:00,2021-01-09 19:29:27.916000+00:00,240.0
331167,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 20:10:24.830000+00:00,2021-01-09 20:10:24.830000+00:00,0.0
394067,5f92ef82589cf50017ab9819,59f9c0dfbc95750d006b98f5,2021-01-09 22:31:03.889000+00:00,2021-01-09 22:31:03.889000+00:00,0.0
223808,5f92f0c25d8174001796477a,59f9c0dfbc95750d006b98f5,2021-01-09 15:47:43.482000+00:00,2021-01-09 15:47:43.482000+00:00,0.0
335301,5f92f0c35d81740017964832,59f9c0dfbc95750d006b98f5,2021-01-09 20:18:50.718000+00:00,2021-01-09 20:22:20.718000+00:00,210.0
355815,5f92f0c35d81740017964832,59f9c0dfbc95750d006b98f5,2021-01-09 20:57:09.904000+00:00,2021-01-09 20:57:09.904000+00:00,0.0
67451,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 07:12:40.211000+00:00,2021-01-09 07:12:40.211000+00:00,0.0
230727,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:09:49.744000+00:00,2021-01-09 16:10:49.744000+00:00,60.0
231300,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:11:50.899000+00:00,2021-01-09 16:12:05.899000+00:00,15.0
231598,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:12:51.646000+00:00,2021-01-09 16:12:51.646000+00:00,0.0
231919,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:13:52.251000+00:00,2021-01-09 16:14:07.251000+00:00,15.0
232322,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:15:08+00:00,2021-01-09 16:15:08+00:00,0.0
232468,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:15:38.231000+00:00,2021-01-09 16:15:38.231000+00:00,0.0
232788,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:16:38.644000+00:00,2021-01-09 16:16:38.644000+00:00,0.0
